symbol,company_name,sector,sub_sector,website,face_value,book_value
ABB,Abbott India Ltd,,,https://www.abbott.co.in/,10,1657
ADANIENSOL,Adani Energy Solutions Ltd,,,https://www.adanienergysolutions.com/,10,175
ADANIENT,Adani Enterprises Ltd,,,https://www.adanienterprises.com/,1,363
ADANIGREEN,Adani Green Energy Ltd,,,http://www.adanigreenenergy.com/,10,67
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",,,http://www.adaniports.com/,2,265
ADANIPOWER,Adani Power Ltd,,,http://www.adani.com/,10,145
AMBUJACEM,Ambuja Cements Ltd,,,https://www.ambujacement.com/,2,205
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",,,https://www.apollohospitals.com/,5,522
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",,,https://www.asianpaints.com/,1,188
ATGL,Adani Total Gas Ltd,,,http://www.adanigas.com/,1,36
AXISBANK,Axis Bank Ltd,,,http://www.axisbank.com/,2,509
BAJAJ-AUTO,Bajaj Auto Ltd,,,https://www.bajajauto.com/,10,1109
BAJAJFINSV,Bajaj Finserv Ltd,,,https://www.bajajfinserv.in/,1,428
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,,,https://www.bhil.in/,10,5375
BAJFINANCE,Bajaj Finance Ltd,,,https://www.bajajfinserv.in/,2,1402
BANKBARODA,Bank of Baroda,,,http://www.bankofbaroda.co.in/,2,231
BEL,Bharat Electronics Ltd,,,http://www.bel-india.in/,1,24
BHARTIARTL,Bharti Airtel Ltd,,,http://www.airtel.in/,5,153
BHEL,"Bharat Heavy Electricals Limited
",,,https://www.bhel.com/,2,70
BOSCHLTD,Bosch Ltd,,,https://www.bosch.in/,10,4319
BPCL,Bharat Petroleum Corporation Ltd,,,https://www.bharatpetroleum.in/,10,178
BRITANNIA,Britannia Industries Ltd,,,https://www.britannia.co.in/,1,133
CANBK,Canara Bank,,,http://www.canarabank.com/,2,102
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,,,https://www.cholamandalam.com/,2,255
CIPLA,"Cipla Ltd
",,,https://www.cipla.com/,2,351
COALINDIA,Coal India Ltd,,,http://www.coalindia.in/,10,156
DABUR,Dabur India Ltd,,,http://www.dabur.com/,1,59
DIVISLAB,Divis Laboratories Ltd,,,https://www.divislaboratories.com/lander,2,517
DLF,DLF Ltd,,,https://www.dlf.in/,2,163
DMART,Avenue Supermarts Ltd,,,http://www.dmartindia.com/,10,309
